pid,sub_cnt,user_cnt,avg_cnt,ac_rate,ac_user_rate
P273509,1131,357,3.168067226890756,0.21043324491600354,0.6078431372549019
P273515,1391,1032,1.3478682170542635,0.7332854061826024,0.9786821705426356
P273523,1470,465,3.161290322580645,0.21972789115646257,0.6537634408602151
P273525,645,303,2.128712871287129,0.4542635658914729,0.8250825082508251
P273541,2796,1750,1.5977142857142856,0.5733190271816881,0.884
P273558,506,422,1.1990521327014219,0.8537549407114624,0.9881516587677726
P273562,36,10,3.6,0.1388888888888889,0.5
P273598,4171,1340,3.1126865671641792,0.19228002877007913,0.5455223880597015
P273603,687,407,1.6879606879606879,0.4847161572052402,0.7960687960687961
P273604,312,268,1.164179104477612,0.8557692307692307,0.9888059701492538
P273609,449,265,1.6943396226415095,0.6013363028953229,0.9886792452830189
P273623,27,13,2.076923076923077,0.4444444444444444,0.9230769230769231
P273631,44,12,3.6666666666666665,0.25,0.4166666666666667
P273650,135,39,3.4615384615384617,0.1259259259259259,0.3333333333333333
P273666,962,269,3.576208178438662,0.28274428274428276,0.895910780669145
P273671,433,136,3.1838235294117645,0.18937644341801385,0.5367647058823529
P273684,316,178,1.7752808988764044,0.509493670886076,0.898876404494382
P273690,1232,486,2.5349794238683128,0.3133116883116883,0.7098765432098766
P273717,2773,1145,2.421834061135371,0.4706094482509917,0.9248908296943231
P273722,2519,1174,2.1456558773424192,0.3687971417229059,0.7640545144804088
P273729,786,168,4.678571428571429,0.1272264631043257,0.44047619047619047
P273747,4055,1429,2.8376487053883834,0.2584463625154131,0.6501049685094472
P273758,200,110,1.8181818181818181,0.305,0.5363636363636364
P273764,1271,443,2.869074492099323,0.3076317859952793,0.7765237020316027
P273765,2442,1396,1.7492836676217765,0.4987714987714988,0.8502865329512894
P273777,3465,1351,2.564766839378238,0.22943722943722944,0.5669874167283494
P273789,1698,980,1.7326530612244897,0.5588928150765606,0.9204081632653062
P273795,1282,431,2.9744779582366587,0.22308892355694226,0.5893271461716937
P273813,312,82,3.8048780487804876,0.15384615384615385,0.5365853658536586
P273814,1113,403,2.761786600496278,0.22731356693620844,0.5558312655086849
P273834,3132,1689,1.8543516873889876,0.4313537675606641,0.7809354647720544
P273846,3042,1668,1.8237410071942446,0.5407626561472715,0.9646282973621103
P273855,1978,683,2.896046852122987,0.2987866531850354,0.7598828696925329
P273856,12,5,2.4,0.5833333333333334,1.0
P273858,471,336,1.4017857142857142,0.7197452229299363,0.9910714285714286
P273877,196,105,1.8666666666666667,0.4030612244897959,0.7333333333333333
P273887,524,416,1.2596153846153846,0.7690839694656488,0.9591346153846154
P273900,151,115,1.3130434782608695,0.6622516556291391,0.8608695652173913
P273915,4892,1889,2.5897300158814187,0.31991005723630417,0.7919534145050291
P273933,442,169,2.6153846153846154,0.2737556561085973,0.7100591715976331
P273943,1349,376,3.5877659574468086,0.2727946627131208,0.8297872340425532
P273950,294,180,1.6333333333333333,0.336734693877551,0.5333333333333333
P273965,1925,1081,1.780758556891767,0.5558441558441558,0.9787234042553191
P273979,254,172,1.4767441860465116,0.6614173228346457,0.9476744186046512
P273996,128,47,2.723404255319149,0.2421875,0.6595744680851063
P274006,2135,435,4.908045977011494,0.11381733021077284,0.4436781609195402
P274022,34,19,1.7894736842105263,0.47058823529411764,0.8421052631578947
P274040,6,3,2.0,0.3333333333333333,0.6666666666666666
P274044,2806,1299,2.1601231716705156,0.33499643620812547,0.6943802925327175
P274058,419,263,1.5931558935361216,0.6014319809069213,0.8859315589353612
P274066,643,254,2.531496062992126,0.343701399688958,0.7913385826771654
P274073,525,306,1.7156862745098038,0.518095238095238,0.8627450980392157
P274080,2064,1013,2.03751233958539,0.3231589147286822,0.6110562685093781
P274082,2522,1027,2.4556962025316458,0.3850118953211737,0.9259980525803311
P274097,597,215,2.7767441860465114,0.34505862646566166,0.8837209302325582
P274098,2319,744,3.1169354838709675,0.2276843467011643,0.6612903225806451
P274114,1788,321,5.570093457943925,0.22539149888143176,0.7040498442367601
P274124,284,145,1.9586206896551723,0.44014084507042256,0.8068965517241379
P274135,154,65,2.3692307692307693,0.13636363636363635,0.3076923076923077
P274161,728,313,2.3258785942492013,0.3228021978021978,0.7284345047923323
P274164,2349,1225,1.9175510204081632,0.4452958705832269,0.8130612244897959
P274170,1364,829,1.6453558504221955,0.5205278592375366,0.841978287092883
P274187,286,48,5.958333333333333,0.03146853146853147,0.16666666666666666
P274203,13,5,2.6,0.0,0.0
P274222,45,14,3.2142857142857144,0.1111111111111111,0.21428571428571427
P274234,1255,482,2.603734439834025,0.4239043824701195,0.9294605809128631
P274253,25,23,1.0869565217391304,0.92,0.9565217391304348
P274257,3322,1535,2.164169381107492,0.37357013847080073,0.7895765472312704
P274266,1008,322,3.130434782608696,0.3601190476190476,0.7795031055900621
P274269,352,270,1.3037037037037038,0.78125,0.9851851851851852
P274275,12,12,1.0,1.0,1.0
P274280,675,438,1.5410958904109588,0.68,0.9497716894977168
P274294,1105,439,2.5170842824601367,0.3248868778280543,0.7403189066059226
P274312,3994,2327,1.716373012462398,0.5222834251377065,0.7804039535883112
P274317,1419,689,2.0595065312046446,0.3664552501761804,0.7416545718432511
P274320,3610,1104,3.2699275362318843,0.2476454293628809,0.7753623188405797
P274345,1531,990,1.5464646464646465,0.6505551926845199,0.9929292929292929
P274362,1466,1133,1.293909973521624,0.7551159618008185,0.9470432480141218
P274368,181,73,2.4794520547945207,0.20441988950276244,0.4246575342465753
P274385,821,344,2.386627906976744,0.3568818514007308,0.7790697674418605
P274399,2270,735,3.0884353741496597,0.186784140969163,0.5768707482993197
P274428,19,4,4.75,0.42105263157894735,1.0
P274438,1949,1166,1.6715265866209263,0.5823499230374551,0.9485420240137221
P274452,122,52,2.3461538461538463,0.3770491803278688,0.8461538461538461
P274460,432,156,2.769230769230769,0.25462962962962965,0.6923076923076923
P274466,2093,1314,1.5928462709284628,0.5551839464882943,0.8751902587519026
P274467,2139,788,2.714467005076142,0.24871435250116877,0.6218274111675127
P274489,16,12,1.3333333333333333,0.8125,1.0
P274504,201,172,1.1686046511627908,0.8308457711442786,0.9651162790697675
P274534,3615,1810,1.9972375690607735,0.5059474412171507,0.9353591160220994
P274550,3024,994,3.0422535211267605,0.2767857142857143,0.7686116700201208
P274560,642,255,2.5176470588235293,0.40654205607476634,0.8901960784313725
P274572,2559,1327,1.9284099472494347,0.47674872997264556,0.8960060286360211
P274591,1487,1100,1.3518181818181818,0.6341627437794216,0.8427272727272728
P274598,432,236,1.8305084745762712,0.5532407407407407,0.9322033898305084
P274611,873,410,2.129268292682927,0.4306987399770905,0.8512195121951219
P274620,1933,995,1.942713567839196,0.49094671495085357,0.928643216080402
P274625,625,394,1.5862944162436547,0.6592,0.9619289340101523
P274637,662,185,3.5783783783783782,0.23564954682779457,0.7135135135135136
P274644,648,97,6.680412371134021,0.12808641975308643,0.6701030927835051
P274651,715,197,3.6294416243654823,0.25874125874125875,0.7258883248730964
P274667,22,7,3.142857142857143,0.09090909090909091,0.2857142857142857
P274671,3157,1128,2.798758865248227,0.2413683877098511,0.6303191489361702
P274675,219,174,1.2586206896551724,0.7853881278538812,0.9827586206896551
P274688,20,2,10.0,0.0,0.0
P274702,488,159,3.069182389937107,0.3237704918032787,0.8742138364779874
P274709,608,294,2.068027210884354,0.44243421052631576,0.8537414965986394
P274725,1684,881,1.9114642451759365,0.47921615201900236,0.8717366628830874
P274741,618,194,3.185567010309278,0.1796116504854369,0.4793814432989691
P274757,221,81,2.728395061728395,0.38461538461538464,0.8395061728395061
P274780,16,3,5.333333333333333,0.5625,1.0
P274786,466,238,1.9579831932773109,0.33261802575107297,0.6092436974789915
P274800,216,81,2.6666666666666665,0.23148148148148148,0.6172839506172839
P274836,1688,738,2.2872628726287263,0.3690758293838863,0.8373983739837398
P274837,5537,2240,2.471875,0.36752754199024745,0.8674107142857143
P274854,15,12,1.25,0.8666666666666667,1.0
P274865,29,15,1.9333333333333333,0.41379310344827586,0.8
P274893,26,4,6.5,0.23076923076923078,0.75
P274900,1408,699,2.0143061516452074,0.34019886363636365,0.6852646638054364
P274905,640,244,2.622950819672131,0.396875,0.8237704918032787
P274921,56,16,3.5,0.375,0.375
P274933,2771,1040,2.664423076923077,0.3312883435582822,0.8432692307692308
P274950,104,37,2.810810810810811,0.19230769230769232,0.5405405405405406
P274968,1750,978,1.7893660531697342,0.5114285714285715,0.8895705521472392
P274970,3096,1333,2.3225806451612905,0.356266149870801,0.7524381095273819
